info_about_run,text_tower_name,text_head_name,image_tower_name,image_head_name,text_tower_params,text_head_params,image_tower_params,image_head_params,text_tower_trainable_params,text_head_trainable_params,image_tower_trainable_params,image_head_trainable_params,memory_before_model,memory_for_model,memory_forward_pass,mem_after_loss_gradient,mem_after_loss_backward,mem_after_optimizer
LoRA (I=small/T=small),BERT medium (42M),Projection Head,ViT small (22M),Projection Head,41635328,788224,22108416,657152,262144,788224,294912,657152,0,524306944,3377311232,3387883520,570099200,587036160
LoRA (I=small/T=medium),BERT base (108M),Projection Head,ViT small (22M),Projection Head,110072064,1050368,22108416,657152,589824,1050368,294912,657152,0,1076269568,5310377472,5320949760,1123569152,1145355776
LoRA (I=medium/T=small),BERT medium (42M),Projection Head,ViT base (86M),Projection Head,41635328,788224,86979072,1050368,262144,788224,589824,1050368,0,1044713984,5585404416,5596566528,1094897152,1116421632
LoRA (I=medium/T=medium),BERT base (108M),Projection Head,ViT base (86M),Projection Head,110072064,1050368,86979072,1050368,589824,1050368,589824,1050368,0,1595496960,7519532032,7530104320,1645450752,1671693824
